item_sku_id,newyear,springfestival,tombsweepingfestival,labourday,dragonboatfestival,midautumnfestival,nationalday,h1111mark,h618mark,h1212mark,day_of_week,free_gift_flag,ghost_offer_flag,dq_and_jq_pay_flag,jq_pay_flag,dq_pay_flag,full_minus_offer_flag,suit_offer_flag,sku_offer_flag,non_promo_flag,sale_qtty,after_prefr_amount,before_prefr_amount,synthetic_before_prefr_amount,participation_rate_full_minus_and_suit_offer,participation_rate_dq_and_jq_pay,sku_offer_discount_rate,full_minus_offer_discount_rate,suit_offer_discount_rate,ghost_offer_discount_rate,dq_and_jq_pay_discount_rate,jq_pay_discount_rate,dq_pay_discount_rate,free_gift_discount_rate,out_of_stock_flag,week_of_year_fourier_sin_1,week_of_year_fourier_cos_1,week_of_year_fourier_sin_2,week_of_year_fourier_cos_2,week_of_year_fourier_sin_3,week_of_year_fourier_cos_3,day_of_week_fourier_sin_1,day_of_week_fourier_cos_1,day_of_week_fourier_sin_2,day_of_week_fourier_cos_2,day_of_week_fourier_sin_3,day_of_week_fourier_cos_3,sku_status_cd,dt
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,0,FALSE,FALSE,0,0,0,0,15,435,735,435,0,0,0,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-02-25
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE,FALSE,0,0,1,0,125,2525,6125,3625,0,0,0.303448276,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-02-26
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,0,FALSE,FALSE,0,0,1,0,46,1094,2254,1334,0,0,0.179910045,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-02-27
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,0,0,0,0,29,841,1421,841,0,0,0,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-02-28
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0,0,0,20,580,980,580,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-02-29
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,FALSE,0,0,0,0,9,261,441,261,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-03-01
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,0,0,0,0,20,580,980,580,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-03-02
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,0,FALSE,FALSE,0,0,0,0,18,522,882,522,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-03-03
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE,FALSE,0,0,0,0,17,493,833,493,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-03-04
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,0,FALSE,FALSE,0,0,0,0,19,551,931,551,0,0,0,0,0,0,0,0,0,0,0,0.875734942,0.482792203,0.845596004,-0.533823378,-0.059240628,-0.998243732,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-03-05
